City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Salinopolis,BR,2023-03-31 20:54:05,-0.6136,-47.3561,78.33,85,100,11.79
67,Mandal,IN,2023-03-31 20:54:05,25.45,74.5667,68.72,53,28,4.07
68,East London,ZA,2023-03-31 20:54:06,-33.0153,27.9116,65.19,75,47,4.81
69,Chokurdakh,RU,2023-03-31 20:48:12,70.6333,147.9167,-18.35,98,100,8.43
70,Hilo,US,2023-03-31 20:52:47,19.7297,-155.09,78.62,78,40,12.66
71,Liling,CN,2023-03-31 20:54:07,27.6667,113.5,58.24,90,59,2.64
72,Vaini,TO,2023-03-31 20:48:05,-21.2,-175.2,80.76,83,20,9.22
73,Port Alfred,ZA,2023-03-31 20:50:29,-33.5906,26.891,62.78,78,2,6.69
74,Faanui,PF,2023-03-31 20:50:41,-16.4833,-151.75,82.62,69,100,6.64
75,Tuktoyaktuk,CA,2023-03-31 20:51:43,69.4541,-133.0374,-5.8,77,20,18.41
76,Cay,TR,2023-03-31 20:54:08,38.5917,31.0286,41.97,70,99,5.19
77,Hobyo,SO,2023-03-31 20:54:08,5.3505,48.5268,83.07,76,65,11.9
78,Airai,TL,2023-03-31 20:48:09,-8.9266,125.4092,58.96,94,100,2.55
79,Bintulu,MY,2023-03-31 20:54:09,3.1667,113.0333,75.61,94,40,4.61
80,Saint-Joseph,RE,2023-03-31 20:54:09,-21.3667,55.6167,77.38,84,21,5.93
81,Shitanjing,CN,2023-03-31 20:54:09,39.2342,106.3439,49.08,18,77,6.64
82,Nanortalik,GL,2023-03-31 20:47:12,60.1432,-45.2371,27.91,82,64,2.06
83,Ahipara,NZ,2023-03-31 20:54:10,-35.1667,173.1667,66.15,94,100,9.73
84,Jieshi,CN,2023-03-31 20:54:10,22.8134,115.8257,68.25,90,100,10.42
85,Thompson,CA,2023-03-31 20:49:27,55.7435,-97.8558,23.16,39,75,2.3
86,Avera,US,2023-03-31 20:54:11,33.194,-82.5271,80.65,48,98,11.63
87,Lompoc,US,2023-03-31 20:47:06,34.6391,-120.4579,64.78,70,75,14.0
88,Linqing,CN,2023-03-31 20:55:11,36.8456,115.7117,50.45,64,55,9.15
89,Safford,US,2023-03-31 20:52:20,32.834,-109.7076,65.75,15,0,3.0
90,Yulara,AU,2023-03-31 20:55:12,-25.2406,130.9889,61.21,71,100,14.05
91,Itarema,BR,2023-03-31 20:55:12,-2.9248,-39.9167,78.28,82,52,8.75
92,Poum,NC,2023-03-31 20:55:12,-20.2333,164.0167,80.29,78,55,11.56
93,Yellowknife,CA,2023-03-31 20:49:16,62.456,-114.3525,5.56,51,75,11.5
94,Viedma,AR,2023-03-31 20:52:42,-40.8135,-62.9967,61.59,33,20,5.82
95,Enid,US,2023-03-31 20:55:13,36.3956,-97.8784,75.02,12,0,34.52
96,Victoria,HK,2023-03-31 20:46:13,22.2855,114.1577,69.21,92,100,11.01
97,Haines Junction,CA,2023-03-31 20:55:13,60.7522,-137.5108,33.75,64,100,3.44
98,Altamira,BR,2023-03-31 20:55:14,-3.2033,-52.2064,78.89,94,75,4.61
99,Dingle,PH,2023-03-31 20:55:14,10.9995,122.6711,76.03,90,100,7.05
100,Vila Franca Do Campo,PT,2023-03-31 20:55:14,37.7167,-25.4333,63.01,95,100,7.23
101,Vardo,NO,2023-03-31 20:50:32,70.3705,31.1107,15.78,86,0,14.97
102,Ponta Do Sol,PT,2023-03-31 20:55:15,32.6667,-17.1,71.71,64,0,4.85
103,Kruisfontein,ZA,2023-03-31 20:51:41,-34.0033,24.7314,54.88,87,0,3.91
104,Kailua,US,2023-03-31 20:48:13,21.4022,-157.7394,82.38,81,40,10.36
105,Lebu,CL,2023-03-31 20:49:15,-37.6167,-73.65,59.77,60,3,9.73
106,Hithadhoo,MV,2023-03-31 20:51:47,-0.6,73.0833,82.22,74,30,5.37
107,Katsuura,JP,2023-03-31 20:50:32,35.1333,140.3,57.81,73,0,4.07
108,Kaitangata,NZ,2023-03-31 20:49:16,-46.2817,169.8464,50.94,98,100,2.04
109,Van Buren,US,2023-03-31 20:55:16,35.4368,-94.3483,84.22,26,75,27.63
110,Marevo,RU,2023-03-31 20:55:17,57.3146,32.0804,31.06,87,97,5.82
